MODEL LOADED D:\Projects\Multi_Agent_Graph_Analysis\prelab\models\Qwen2.5-7B-Instruct-bnb-4bit GPU GiB 5.197
DONE generate 59 400 ragognize_train_1689__complete seconds 1.262
DONE generate 60 400 ragognize_train_1689__partial seconds 1.26
DONE generate 61 400 ragognize_train_1875__complete seconds 0.821
DONE generate 62 400 ragognize_train_1875__partial seconds 0.79
DONE generate 63 400 ragognize_train_1971__complete seconds 1.024
DONE generate 64 400 ragognize_train_1971__partial seconds 1.048
DONE generate 65 400 ragognize_train_2020__complete seconds 0.948
DONE generate 66 400 ragognize_train_2020__partial seconds 0.933
DONE generate 67 400 ragognize_train_2030__complete seconds 0.901
DONE generate 68 400 ragognize_train_2030__partial seconds 0.938
DONE generate 69 400 ragognize_train_2036__complete seconds 1.208
DONE generate 70 400 ragognize_train_2036__partial seconds 1.356
DONE generate 71 400 ragognize_train_2160__complete seconds 0.707
DONE generate 72 400 ragognize_train_2160__partial seconds 0.762
DONE generate 73 400 ragognize_train_2180__complete seconds 0.999
DONE generate 74 400 ragognize_train_2180__partial seconds 1.086
DONE generate 75 400 ragognize_train_2212__complete seconds 0.89
DONE generate 76 400 ragognize_train_2212__partial seconds 0.978
DONE generate 77 400 ragognize_train_2218__complete seconds 0.877
DONE generate 78 400 ragognize_train_2218__partial seconds 0.926
DONE generate 79 400 ragognize_train_2271__complete seconds 1.001
DONE generate 80 400 ragognize_train_2271__partial seconds 1.093
DONE generate 81 400 ragognize_test_0044__complete seconds 1.25
DONE generate 82 400 ragognize_test_0044__partial seconds 1.237
DONE generate 83 400 ragognize_test_0130__complete seconds 1.088
DONE generate 84 400 ragognize_test_0130__partial seconds 1.272
DONE generate 85 400 ragognize_test_0237__complete seconds 0.761
DONE generate 86 400 ragognize_test_0237__partial seconds 1.079
DONE generate 87 400 ragognize_test_0275__complete seconds 1.481
DONE generate 88 400 ragognize_test_0275__partial seconds 1.336
DONE generate 89 400 ragognize_test_0485__complete seconds 1.189
DONE generate 90 400 ragognize_test_0485__partial seconds 1.228
DONE generate 91 400 ragognize_test_0701__complete seconds 1.665
DONE generate 92 400 ragognize_test_0701__partial seconds 1.566
DONE generate 93 400 ragognize_test_0726__complete seconds 1.569
DONE generate 94 400 ragognize_test_0726__partial seconds 1.531
DONE generate 95 400 ragognize_test_0970__complete seconds 1.144
DONE generate 96 400 ragognize_test_0970__partial seconds 1.192
DONE generate 97 400 ragognize_test_0998__complete seconds 1.373
DONE generate 98 400 ragognize_test_0998__partial seconds 1.292
DONE generate 99 400 ragognize_test_1264__complete seconds 1.581
DONE generate 100 400 ragognize_test_1264__partial seconds 1.505
DONE generate 101 400 ragognize_test_1284__complete seconds 1.215
DONE generate 102 400 ragognize_test_1284__partial seconds 1.482
DONE generate 103 400 ragognize_train_1396__complete seconds 1.353
DONE generate 104 400 ragognize_train_1396__partial seconds 1.556
DONE generate 105 400 ragognize_test_1332__complete seconds 0.787
DONE generate 106 400 ragognize_test_1332__partial seconds 1.177
DONE generate 107 400 ragognize_test_1452__complete seconds 0.877
DONE generate 108 400 ragognize_test_1452__partial seconds 1.219
DONE generate 109 400 ragognize_test_1554__complete seconds 1.204
DONE generate 110 400 ragognize_test_1554__partial seconds 1.365
DONE generate 111 400 ragognize_test_1645__complete seconds 1.253
DONE generate 112 400 ragognize_test_1645__partial seconds 1.351
DONE generate 113 400 ragognize_test_2039__complete seconds 1.275
DONE generate 114 400 ragognize_test_2039__partial seconds 1.92
DONE generate 115 400 ragognize_test_2095__complete seconds 0.888
DONE generate 116 400 ragognize_test_2095__partial seconds 1.046
DONE generate 117 400 ragognize_train_0177__complete seconds 1.066
DONE generate 118 400 ragognize_train_0177__partial seconds 1.219
DONE generate 119 400 ragognize_train_0382__complete seconds 1.58
DONE generate 120 400 ragognize_train_0382__partial seconds 1.42
DONE generate 121 400 ragognize_train_0406__complete seconds 0.928
DONE generate 122 400 ragognize_train_0406__partial seconds 1.07
DONE generate 123 400 ragognize_train_0414__complete seconds 1.009
DONE generate 124 400 ragognize_train_0414__partial seconds 1.138
DONE generate 125 400 ragognize_train_0420__complete seconds 0.811
DONE generate 126 400 ragognize_train_0420__partial seconds 1.321
DONE generate 127 400 ragognize_train_0473__complete seconds 1.484
DONE generate 128 400 ragognize_train_0473__partial seconds 1.504
DONE generate 129 400 ragognize_train_0683__complete seconds 1.182
DONE generate 130 400 ragognize_train_0683__partial seconds 1.237
DONE generate 131 400 ragognize_train_0940__complete seconds 0.84
DONE generate 132 400 ragognize_train_0940__partial seconds 1.059
DONE generate 133 400 ragognize_train_1158__complete seconds 1.734
DONE generate 134 400 ragognize_train_1158__partial seconds 1.519
DONE generate 135 400 ragognize_train_1379__complete seconds 1.545
DONE generate 136 400 ragognize_train_1379__partial seconds 1.811
DONE generate 137 400 ragognize_train_1520__complete seconds 1.49
DONE generate 138 400 ragognize_train_1520__partial seconds 1.329
DONE generate 139 400 ragognize_train_1532__complete seconds 1.426
DONE generate 140 400 ragognize_train_1532__partial seconds 1.131
DONE generate 141 400 ragognize_train_1586__complete seconds 1.228
DONE generate 142 400 ragognize_train_1586__partial seconds 1.328
DONE generate 143 400 ragognize_train_1747__complete seconds 0.894
DONE generate 144 400 ragognize_train_1747__partial seconds 0.811
DONE generate 145 400 ragognize_train_1766__complete seconds 1.223
DONE generate 146 400 ragognize_train_1766__partial seconds 1.404
DONE generate 147 400 ragognize_train_1782__complete seconds 1.136
DONE generate 148 400 ragognize_train_1782__partial seconds 1.223
DONE generate 149 400 ragognize_train_1861__complete seconds 1.646
DONE generate 150 400 ragognize_train_1861__partial seconds 1.782
DONE generate 151 400 ragognize_train_1953__complete seconds 1.294
DONE generate 152 400 ragognize_train_1953__partial seconds 1.941
DONE generate 153 400 ragognize_train_2125__complete seconds 1.491
DONE generate 154 400 ragognize_train_2125__partial seconds 1.551
DONE generate 155 400 ragognize_train_2141__complete seconds 1.794
DONE generate 156 400 ragognize_train_2141__partial seconds 1.447
DONE generate 157 400 ragognize_train_2179__complete seconds 1.565
DONE generate 158 400 ragognize_train_2179__partial seconds 1.706
DONE generate 159 400 ragognize_train_2295__complete seconds 1.351
DONE generate 160 400 ragognize_train_2295__partial seconds 1.45
DONE generate 161 400 ragognize_test_0387__complete seconds 0.924
DONE generate 162 400 ragognize_test_0387__partial seconds 0.823
DONE generate 163 400 ragognize_test_0452__complete seconds 0.613
DONE generate 164 400 ragognize_test_0452__partial seconds 0.558
DONE generate 165 400 ragognize_test_0645__complete seconds 0.867
DONE generate 166 400 ragognize_test_0645__partial seconds 0.789
DONE generate 167 400 ragognize_test_0648__complete seconds 0.676
DONE generate 168 400 ragognize_test_0648__partial seconds 1.335
DONE generate 169 400 ragognize_test_0681__complete seconds 1.84
DONE generate 170 400 ragognize_test_0681__partial seconds 1.632
DONE generate 171 400 ragognize_test_0889__complete seconds 0.658
DONE generate 172 400 ragognize_test_0889__partial seconds 1.197
DONE generate 173 400 ragognize_test_0959__complete seconds 0.698
DONE generate 174 400 ragognize_test_0959__partial seconds 0.617
DONE generate 175 400 ragognize_test_0964__complete seconds 0.619
DONE generate 176 400 ragognize_test_0964__partial seconds 1.653
DONE generate 177 400 ragognize_test_1018__complete seconds 0.816
DONE generate 178 400 ragognize_test_1018__partial seconds 1.931
DONE generate 179 400 ragognize_test_1117__complete seconds 1.073
DONE generate 180 400 ragognize_test_1117__partial seconds 1.171
DONE generate 181 400 ragognize_test_1241__complete seconds 0.922
DONE generate 182 400 ragognize_test_1241__partial seconds 0.999
DONE generate 183 400 ragognize_test_1420__complete seconds 0.875
DONE generate 184 400 ragognize_test_1420__partial seconds 0.957
DONE generate 185 400 ragognize_test_1463__complete seconds 0.556
DONE generate 186 400 ragognize_test_1463__partial seconds 0.717
DONE generate 187 400 ragognize_test_1548__complete seconds 1.133
DONE generate 188 400 ragognize_test_1548__partial seconds 1.351
DONE generate 189 400 ragognize_test_1740__complete seconds 0.787
DONE generate 190 400 ragognize_test_1740__partial seconds 0.752
DONE generate 191 400 ragognize_test_1866__complete seconds 1.066
DONE generate 192 400 ragognize_test_1866__partial seconds 1.109
DONE generate 193 400 ragognize_test_1974__complete seconds 0.696
DONE generate 194 400 ragognize_test_1974__partial seconds 0.806
DONE generate 195 400 ragognize_test_1979__complete seconds 0.85
DONE generate 196 400 ragognize_test_1979__partial seconds 0.843
DONE generate 197 400 ragognize_test_2096__complete seconds 1.041
DONE generate 198 400 ragognize_test_2096__partial seconds 0.87
DONE generate 199 400 ragognize_test_2206__complete seconds 0.683
DONE generate 200 400 ragognize_test_2206__partial seconds 1.239
DONE generate 201 400 ragognize_test_2293__complete seconds 1.004
DONE generate 202 400 ragognize_test_2293__partial seconds 0.948
DONE generate 203 400 ragognize_train_0088__complete seconds 1.116
DONE generate 204 400 ragognize_train_0088__partial seconds 1.374
DONE generate 205 400 ragognize_train_0095__complete seconds 0.618
DONE generate 206 400 ragognize_train_0095__partial seconds 0.934
DONE generate 207 400 ragognize_train_0445__complete seconds 0.913
DONE generate 208 400 ragognize_train_0445__partial seconds 0.921
DONE generate 209 400 ragognize_train_0584__complete seconds 0.639
DONE generate 210 400 ragognize_train_0584__partial seconds 0.619
DONE generate 211 400 ragognize_train_0613__complete seconds 0.704
DONE generate 212 400 ragognize_train_0613__partial seconds 0.754
DONE generate 213 400 ragognize_train_0845__complete seconds 0.719
DONE generate 214 400 ragognize_train_0845__partial seconds 0.764
DONE generate 215 400 ragognize_train_0855__complete seconds 0.764
DONE generate 216 400 ragognize_train_0855__partial seconds 0.884
DONE generate 217 400 ragognize_train_0913__complete seconds 0.595
DONE generate 218 400 ragognize_train_0913__partial seconds 0.78
DONE generate 219 400 ragognize_train_1145__complete seconds 1.042
DONE generate 220 400 ragognize_train_1145__partial seconds 0.73
DONE generate 221 400 ragognize_train_1159__complete seconds 0.557
DONE generate 222 400 ragognize_train_1159__partial seconds 0.624
DONE generate 223 400 ragognize_train_1168__complete seconds 0.824
DONE generate 224 400 ragognize_train_1168__partial seconds 0.687
DONE generate 225 400 ragognize_train_1279__complete seconds 1.051
DONE generate 226 400 ragognize_train_1279__partial seconds 1.901
DONE generate 227 400 ragognize_train_1511__complete seconds 1.054
DONE generate 228 400 ragognize_train_1511__partial seconds 0.936
DONE generate 229 400 ragognize_train_1686__complete seconds 0.72
DONE generate 230 400 ragognize_train_1686__partial seconds 0.665
DONE generate 231 400 ragognize_train_1892__complete seconds 1.119
DONE generate 232 400 ragognize_train_1892__partial seconds 1.092
DONE generate 233 400 ragognize_train_1996__complete seconds 1.051
DONE generate 234 400 ragognize_train_1996__partial seconds 1.084
DONE generate 235 400 ragognize_train_2214__complete seconds 1.291
DONE generate 236 400 ragognize_train_2214__partial seconds 1.405
DONE generate 237 400 ragognize_train_2266__complete seconds 1.061
DONE generate 238 400 ragognize_train_2266__partial seconds 1.057
DONE generate 239 400 ragognize_train_2328__complete seconds 1.178
DONE generate 240 400 ragognize_train_2328__partial seconds 1.202
DONE generate 241 400 ragognize_test_0690__complete seconds 0.731
DONE generate 242 400 ragognize_test_0690__partial seconds 0.938
DONE generate 243 400 ragognize_test_1012__complete seconds 0.889
DONE generate 244 400 ragognize_test_1012__partial seconds 1.049
DONE generate 245 400 ragognize_test_1021__complete seconds 0.942
DONE generate 246 400 ragognize_test_1021__partial seconds 1.581
DONE generate 247 400 ragognize_test_1668__complete seconds 0.674
DONE generate 248 400 ragognize_test_1668__partial seconds 0.789
DONE generate 249 400 ragognize_test_1722__complete seconds 1.156
DONE generate 250 400 ragognize_test_1722__partial seconds 1.06
DONE generate 251 400 ragognize_test_2227__complete seconds 1.284
DONE generate 252 400 ragognize_test_2227__partial seconds 1.16
DONE generate 253 400 ragognize_train_0001__complete seconds 1.055
DONE generate 254 400 ragognize_train_0001__partial seconds 1.032
DONE generate 255 400 ragognize_train_0061__complete seconds 1.033
DONE generate 256 400 ragognize_train_0061__partial seconds 1.027
DONE generate 257 400 ragognize_train_0151__complete seconds 0.836
DONE generate 258 400 ragognize_train_0151__partial seconds 1.379
DONE generate 259 400 ragognize_train_0189__complete seconds 1.33
DONE generate 260 400 ragognize_train_0189__partial seconds 1.421
DONE generate 261 400 ragognize_train_0230__complete seconds 0.845
DONE generate 262 400 ragognize_train_0230__partial seconds 0.866
DONE generate 263 400 ragognize_train_0235__complete seconds 1.506
DONE generate 264 400 ragognize_train_0235__partial seconds 1.569
DONE generate 265 400 ragognize_train_0380__complete seconds 1.166
DONE generate 266 400 ragognize_train_0380__partial seconds 0.939
DONE generate 267 400 ragognize_train_0399__complete seconds 1.596
DONE generate 268 400 ragognize_train_0399__partial seconds 1.219
DONE generate 269 400 ragognize_train_0403__complete seconds 1.137
DONE generate 270 400 ragognize_train_0403__partial seconds 1.649
DONE generate 271 400 ragognize_train_0466__complete seconds 1.03
DONE generate 272 400 ragognize_train_0466__partial seconds 0.979
DONE generate 273 400 ragognize_train_0514__complete seconds 0.961
DONE generate 274 400 ragognize_train_0514__partial seconds 1.229
DONE generate 275 400 ragognize_train_0615__complete seconds 1.925
DONE generate 276 400 ragognize_train_0615__partial seconds 1.89
DONE generate 277 400 ragognize_train_0642__complete seconds 0.934
DONE generate 278 400 ragognize_train_0642__partial seconds 1.207
DONE generate 279 400 ragognize_train_0646__complete seconds 0.895
DONE generate 280 400 ragognize_train_0646__partial seconds 1.409
DONE generate 281 400 ragognize_train_0653__complete seconds 1.181
DONE generate 282 400 ragognize_train_0653__partial seconds 1.492
DONE generate 283 400 ragognize_train_0949__complete seconds 0.828
DONE generate 284 400 ragognize_train_0949__partial seconds 0.633
DONE generate 285 400 ragognize_train_1068__complete seconds 1.012
DONE generate 286 400 ragognize_train_1068__partial seconds 0.971
DONE generate 287 400 ragognize_train_1147__complete seconds 0.938
DONE generate 288 400 ragognize_train_1147__partial seconds 1.068
DONE generate 289 400 ragognize_train_1155__complete seconds 1.024
DONE generate 290 400 ragognize_train_1155__partial seconds 0.898
DONE generate 291 400 ragognize_train_1160__complete seconds 1.176
DONE generate 292 400 ragognize_train_1160__partial seconds 1.635
DONE generate 293 400 ragognize_train_1219__complete seconds 0.821
DONE generate 294 400 ragognize_train_1219__partial seconds 0.778
DONE generate 295 400 ragognize_train_1333__complete seconds 1.134
DONE generate 296 400 ragognize_train_1333__partial seconds 1.263
DONE generate 297 400 ragognize_train_1336__complete seconds 0.964
DONE generate 298 400 ragognize_train_1336__partial seconds 0.968
DONE generate 299 400 ragognize_train_1401__complete seconds 0.79
DONE generate 300 400 ragognize_train_1401__partial seconds 0.833
DONE generate 301 400 ragognize_train_1478__complete seconds 0.776
DONE generate 302 400 ragognize_train_1478__partial seconds 0.622
DONE generate 303 400 ragognize_train_1505__complete seconds 0.817
DONE generate 304 400 ragognize_train_1505__partial seconds 0.914
DONE generate 305 400 ragognize_train_1542__complete seconds 0.997
DONE generate 306 400 ragognize_train_1542__partial seconds 0.895
DONE generate 307 400 ragognize_train_1657__complete seconds 0.871
DONE generate 308 400 ragognize_train_1657__partial seconds 0.928
DONE generate 309 400 ragognize_train_1661__complete seconds 1.294
DONE generate 310 400 ragognize_train_1661__partial seconds 1.263
DONE generate 311 400 ragognize_train_1664__complete seconds 1.267
DONE generate 312 400 ragognize_train_1664__partial seconds 1.161
DONE generate 313 400 ragognize_train_1773__complete seconds 0.735
DONE generate 314 400 ragognize_train_1773__partial seconds 0.839
DONE generate 315 400 ragognize_train_2028__complete seconds 0.846
DONE generate 316 400 ragognize_train_2028__partial seconds 1.188
DONE generate 317 400 ragognize_train_2062__complete seconds 0.913
DONE generate 318 400 ragognize_train_2062__partial seconds 0.799
DONE generate 319 400 ragognize_train_2331__complete seconds 1.097
DONE generate 320 400 ragognize_train_2331__partial seconds 1.134
DONE generate 321 400 ragognize_test_0059__complete seconds 1.597
DONE generate 322 400 ragognize_test_0059__partial seconds 1.656
DONE generate 323 400 ragognize_test_0172__complete seconds 1.184
DONE generate 324 400 ragognize_test_0172__partial seconds 1.773
DONE generate 325 400 ragognize_test_1644__complete seconds 1.029
DONE generate 326 400 ragognize_test_1644__partial seconds 1.469
DONE generate 327 400 ragognize_test_1723__complete seconds 1.367
DONE generate 328 400 ragognize_test_1723__partial seconds 1.424
DONE generate 329 400 ragognize_test_1817__complete seconds 0.959
DONE generate 330 400 ragognize_test_1817__partial seconds 1.075
DONE generate 331 400 ragognize_test_1887__complete seconds 0.948
DONE generate 332 400 ragognize_test_1887__partial seconds 1.761
DONE generate 333 400 ragognize_test_2231__complete seconds 1.041
DONE generate 334 400 ragognize_test_2231__partial seconds 1.258
DONE generate 335 400 ragognize_test_2340__complete seconds 1.362
DONE generate 336 400 ragognize_test_2340__partial seconds 1.303
DONE generate 337 400 ragognize_train_0043__complete seconds 0.965
DONE generate 338 400 ragognize_train_0043__partial seconds 0.843
DONE generate 339 400 ragognize_train_0169__complete seconds 1.415
DONE generate 340 400 ragognize_train_0169__partial seconds 1.321
DONE generate 341 400 ragognize_train_0253__complete seconds 0.917
DONE generate 342 400 ragognize_train_0253__partial seconds 0.797
DONE generate 343 400 ragognize_train_0265__complete seconds 0.898
DONE generate 344 400 ragognize_train_0265__partial seconds 1.126
DONE generate 345 400 ragognize_train_0284__complete seconds 0.954
DONE generate 346 400 ragognize_train_0284__partial seconds 1.111
DONE generate 347 400 ragognize_train_0354__complete seconds 1.21
DONE generate 348 400 ragognize_train_0354__partial seconds 1.457
DONE generate 349 400 ragognize_train_0366__complete seconds 1.078
DONE generate 350 400 ragognize_train_0366__partial seconds 1.172
DONE generate 351 400 ragognize_train_0368__complete seconds 1.403
DONE generate 352 400 ragognize_train_0368__partial seconds 2.265
DONE generate 353 400 ragognize_train_0498__complete seconds 0.813
DONE generate 354 400 ragognize_train_0498__partial seconds 1.14
DONE generate 355 400 ragognize_train_0719__complete seconds 1.737
DONE generate 356 400 ragognize_train_0719__partial seconds 1.404
DONE generate 357 400 ragognize_train_0891__complete seconds 1.146
DONE generate 358 400 ragognize_train_0891__partial seconds 1.265
DONE generate 359 400 ragognize_train_0928__complete seconds 1.006
DONE generate 360 400 ragognize_train_0928__partial seconds 0.907
DONE generate 361 400 ragognize_train_0951__complete seconds 1.389
DONE generate 362 400 ragognize_train_0951__partial seconds 1.429
DONE generate 363 400 ragognize_train_0974__complete seconds 0.99
DONE generate 364 400 ragognize_train_0974__partial seconds 1.672
DONE generate 365 400 ragognize_train_1035__complete seconds 1.285
DONE generate 366 400 ragognize_train_1035__partial seconds 1.765
DONE generate 367 400 ragognize_train_1042__complete seconds 1.412
DONE generate 368 400 ragognize_train_1042__partial seconds 2.462
DONE generate 369 400 ragognize_train_1205__complete seconds 0.927
DONE generate 370 400 ragognize_train_1205__partial seconds 1.08
DONE generate 371 400 ragognize_train_1359__complete seconds 1.947
DONE generate 372 400 ragognize_train_1359__partial seconds 2.017
DONE generate 373 400 ragognize_train_1415__complete seconds 1.574
DONE generate 374 400 ragognize_train_1415__partial seconds 1.792
DONE generate 375 400 ragognize_train_1472__complete seconds 1.077
DONE generate 376 400 ragognize_train_1472__partial seconds 1.137
DONE generate 377 400 ragognize_train_1543__complete seconds 1.535
DONE generate 378 400 ragognize_train_1543__partial seconds 1.669
DONE generate 379 400 ragognize_train_1711__complete seconds 1.256
DONE generate 380 400 ragognize_train_1711__partial seconds 0.859
DONE generate 381 400 ragognize_train_1777__complete seconds 1.318
DONE generate 382 400 ragognize_train_1777__partial seconds 1.291
DONE generate 383 400 ragognize_train_1821__complete seconds 0.964
DONE generate 384 400 ragognize_train_1821__partial seconds 1.317
DONE generate 385 400 ragognize_train_1869__complete seconds 1.181
DONE generate 386 400 ragognize_train_1869__partial seconds 1.129
DONE generate 387 400 ragognize_train_1871__complete seconds 1.172
DONE generate 388 400 ragognize_train_1871__partial seconds 1.415
DONE generate 389 400 ragognize_train_1879__complete seconds 1.619
DONE generate 390 400 ragognize_train_1879__partial seconds 1.693
DONE generate 391 400 ragognize_train_2144__complete seconds 1.171
DONE generate 392 400 ragognize_train_2144__partial seconds 1.472
DONE generate 393 400 ragognize_train_2167__complete seconds 1.276
DONE generate 394 400 ragognize_train_2167__partial seconds 1.359
DONE generate 395 400 ragognize_train_2232__complete seconds 1.215
DONE generate 396 400 ragognize_train_2232__partial seconds 1.41
DONE generate 397 400 ragognize_train_2268__complete seconds 1.134
DONE generate 398 400 ragognize_train_2268__partial seconds 1.41
DONE generate 399 400 ragognize_train_2314__complete seconds 1.62
DONE generate 400 400 ragognize_train_2314__partial seconds 1.416
DONE core 1 400 ragognize_train_0158__complete seconds 0.453
DONE core 2 400 ragognize_train_0158__partial seconds 0.387
DONE core 3 400 ragognize_train_0287__complete seconds 0.379
DONE core 4 400 ragognize_train_0287__partial seconds 0.467
DONE core 5 400 ragognize_train_0302__complete seconds 0.491
DONE core 6 400 ragognize_train_0302__partial seconds 0.468
DONE core 7 400 ragognize_train_0313__complete seconds 0.471
DONE core 8 400 ragognize_train_0313__partial seconds 0.396
DONE core 9 400 ragognize_train_0379__complete seconds 0.468
DONE core 10 400 ragognize_train_0379__partial seconds 0.455
DONE core 11 400 ragognize_train_0519__complete seconds 0.412
DONE core 12 400 ragognize_train_0519__partial seconds 0.548
DONE core 13 400 ragognize_train_0580__complete seconds 0.472
DONE core 14 400 ragognize_train_0580__partial seconds 0.461
DONE core 15 400 ragognize_train_0623__complete seconds 0.455
DONE core 16 400 ragognize_train_0623__partial seconds 0.393
DONE core 17 400 ragognize_train_0656__complete seconds 0.409
DONE core 18 400 ragognize_train_0656__partial seconds 0.393
DONE core 19 400 ragognize_train_0692__complete seconds 0.418
DONE core 20 400 ragognize_train_0692__partial seconds 0.382
DONE core 21 400 ragognize_train_0777__complete seconds 0.41
DONE core 22 400 ragognize_train_0777__partial seconds 0.464
DONE core 23 400 ragognize_train_0860__complete seconds 0.508
DONE core 24 400 ragognize_train_0860__partial seconds 0.511
DONE core 25 400 ragognize_train_0867__complete seconds 0.463
DONE core 26 400 ragognize_train_0867__partial seconds 0.413
DONE core 27 400 ragognize_train_0903__complete seconds 0.346
DONE core 28 400 ragognize_train_0903__partial seconds 0.422
DONE core 29 400 ragognize_train_0939__complete seconds 0.397
DONE core 30 400 ragognize_train_0939__partial seconds 0.388
DONE core 31 400 ragognize_train_0988__complete seconds 0.477
DONE core 32 400 ragognize_train_0988__partial seconds 0.403
DONE core 33 400 ragognize_train_1041__complete seconds 0.521
DONE core 34 400 ragognize_train_1041__partial seconds 0.49
DONE core 35 400 ragognize_train_1122__complete seconds 0.51
DONE core 36 400 ragognize_train_1122__partial seconds 0.567
DONE core 37 400 ragognize_train_1128__complete seconds 0.322
DONE core 38 400 ragognize_train_1128__partial seconds 0.468
DONE core 39 400 ragognize_train_1149__complete seconds 0.421
DONE core 40 400 ragognize_train_1149__partial seconds 0.406
DONE core 41 400 ragognize_train_1153__complete seconds 0.415
DONE core 42 400 ragognize_train_1153__partial seconds 0.445
DONE core 43 400 ragognize_train_1180__complete seconds 0.469
DONE core 44 400 ragognize_train_1180__partial seconds 0.468
DONE core 45 400 ragognize_train_1187__complete seconds 0.405
DONE core 46 400 ragognize_train_1187__partial seconds 0.405
DONE core 47 400 ragognize_train_1298__complete seconds 0.448
DONE core 48 400 ragognize_train_1298__partial seconds 0.452
DONE core 49 400 ragognize_train_1307__complete seconds 0.481
DONE core 50 400 ragognize_train_1307__partial seconds 0.476
DONE core 51 400 ragognize_train_1347__complete seconds 0.448
DONE core 52 400 ragognize_train_1347__partial seconds 0.444
DONE core 53 400 ragognize_train_1593__complete seconds 0.394
DONE core 54 400 ragognize_train_1593__partial seconds 0.393
DONE core 55 400 ragognize_train_1617__complete seconds 0.565
DONE core 56 400 ragognize_train_1617__partial seconds 0.519
DONE core 57 400 ragognize_train_1681__complete seconds 0.404
DONE core 58 400 ragognize_train_1681__partial seconds 0.486
DONE core 59 400 ragognize_train_1689__complete seconds 0.507
DONE core 60 400 ragognize_train_1689__partial seconds 0.505
DONE core 61 400 ragognize_train_1875__complete seconds 0.386
DONE core 62 400 ragognize_train_1875__partial seconds 0.35
DONE core 63 400 ragognize_train_1971__complete seconds 0.404
DONE core 64 400 ragognize_train_1971__partial seconds 0.393
